"gene_symbols","lfc","WT_expression","KO_expression"
"Slc46a3",-0.0542866548008458,4.770812,6.031998
"Mtus2",-0.177859026029004,0,0.303199
"N4bp2l2",-0.0862995828670794,16.661742,18.978421
"C8b",-0.246305554274215,0,0.70865
"Hsph1",0.0601761934057894,21.345357,19.941991
"Wdr95",-0.0871746986997985,0,0.079072
"Medag",-0.106758648456811,0,0.098179
"Tex26",-0.0871746986997985,0,0.194851
"Col1a2",0.0198560768683151,8.9253,8.810767
"Gngt1",0,0,0
"Tfpi2",-0.192008586255749,3.304879,7.534915
"Tspan12",-0.0465025019304086,36.256501,39.417606
"Ing3",0.261714333337462,25.349126,15.789122
"Wnt16",-0.118020146504912,0,0.179262
"Fam3c",-0.138969100912147,18.840251,23.75641
"Auts2",-0.124459418229696,1.939318,2.894932
"Limk1",-0.00212506048947958,4.998699,5.151011
"Eln",0.0807310582242415,4.045139,3.246873
"Pot1a",0.273485121835133,15.275174,8.454761
"Hyal5",0,0,0
"Hyal6",0,0,0
"Hyal4",0,0,0
"Bcl7b",0.0745948764001323,18.653309,16.37367
"Spam1",0,0,0
"Lmod2",0,0,0
"Wasl",0.353946338058833,34.243033,22.376651
"Asb15",0.020247564161135,0.772844,0.689767
"Cul1",-0.201311564596955,22.03453,29.934372
"Ezh2",-0.0444545099199125,8.438835,9.737581
"Aass",-0.00129697307800569,18.670469,19.156909
"Fezf1",0,0,0
"Ssc4d",-0.263607806025034,0,1.543806
"Slc13a1",0.00824646513235905,24.118039,24.403153
"Rbm28",0.25464434200274,12.874305,7.63257
"Lrwd1",0.157895912964763,8.97225,6.237411
"Cux1",0.118710277414511,51.498689,46.637774
"Pax4",0,0,0
"Fscn3",0,0,0
"Gcc1",0.0603798796215038,5.868939,5.283509
"Ephb4",-0.165966451035937,40.886291,49.575753
"Epo",0,0,0
"Actl6b",0,0,0
"Gnb2",0.113442229649145,154.230295,140.756598
"Gigyf1",-0.0164460953981393,17.693946,18.547061
"Pop7",0.227727801613446,15.263421,6.667777
"Tfr2",-0.164392118993803,0.55137,1.538291
"Pcolce",-0.130464365580428,38.153131,47.288965
"Gm20605",-0.510678501250259,0,1.461897
"Agfg2",0.116401484294654,13.627146,11.236989
"Tsc22d4",-0.177096941401294,39.618344,52.636646
"Ppp1r35",-0.11875596875384,3.917659,7.55183
"Mepce",0.0573362346964945,16.884596,15.764094
"Cyp3a13",-0.0871746986997985,0,0.065381
"Zkscan1",-0.0986178242241049,12.317046,14.255459
"Mcm7",0.0335454970423221,16.949446,16.231139
"Tpk1",-0.168748551161841,7.280409,10.855419
"Nobox",0,0,0
"Asns",-0.383878157737703,0,2.040452
"Dlx6",0.250370332338635,3.733939,0
"Dlx5",0,0,0
"Dync1i1",0.283516878912783,4.321848,0.654928
"Pon3",-0.0868591260682372,11.604936,14.443286
"Cald1",0.10956133207441,24.751422,21.896114
"Akr1b8",-0.193372147664549,2.535775,6.255904
"Exoc4",0.428657724129431,44.341767,26.444521
"Plxna4",0.283567926819378,5.839425,3.965469
"1700012A03Rik",0,0,0
"Calu",-0.123760862045971,30.430222,36.286104
"Ccdc136",-0.0606179524120929,0.489705,0.787691
